Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
13 Jun 2017,Golden State Warriors,Cleveland Cavaliers,129,120,1.25,4.23,1,1,0
10 Jun 2017,Cleveland Cavaliers,Golden State Warriors,137,116,2.67,1.52,1,1,0
08 Jun 2017,Cleveland Cavaliers,Golden State Warriors,113,118,2.37,1.64,0,1,0
05 Jun 2017,Golden State Warriors,Cleveland Cavaliers,132,113,1.25,4.32,1,1,0
02 Jun 2017,Golden State Warriors,Cleveland Cavaliers,113,91,1.31,3.70,1,1,0
26 May 2017,Boston Celtics,Cleveland Cavaliers,102,135,5.08,1.20,0,1,0
24 May 2017,Cleveland Cavaliers,Boston Celtics,112,99,1.04,13.51,1,1,0
23 May 2017,San Antonio Spurs,Golden State Warriors,115,129,6.46,1.14,0,1,0
22 May 2017,Cleveland Cavaliers,Boston Celtics,108,111,1.03,15.76,0,1,0
21 May 2017,San Antonio Spurs,Golden State Warriors,108,120,4.69,1.21,0,1,0
20 May 2017,Boston Celtics,Cleveland Cavaliers,86,130,2.81,1.47,0,1,0
18 May 2017,Boston Celtics,Cleveland Cavaliers,104,117,2.60,1.55,0,1,0
17 May 2017,Golden State Warriors,San Antonio Spurs,136,100,1.08,9.83,1,1,0
16 May 2017,Boston Celtics,Washington Wizards,115,105,1.47,2.82,1,1,0
14 May 2017,Golden State Warriors,San Antonio Spurs,113,111,1.16,5.77,1,1,0
13 May 2017,Washington Wizards,Boston Celtics,92,91,1.48,2.78,1,1,0
12 May 2017,Houston Rockets,San Antonio Spurs,75,114,1.20,4.93,0,1,0
11 May 2017,Boston Celtics,Washington Wizards,123,101,1.59,2.46,1,1,0
10 May 2017,San Antonio Spurs,Houston Rockets,110,107,1.45,2.88,1,1,0
09 May 2017,Utah Jazz,Golden State Warriors,95,121,4.51,1.23,0,1,0
08 May 2017,Houston Rockets,San Antonio Spurs,125,104,1.48,2.77,1,1,0
07 May 2017,Washington Wizards,Boston Celtics,121,102,1.50,2.71,1,1,0
07 May 2017,Toronto Raptors,Cleveland Cavaliers,102,109,3.50,1.33,0,1,0
07 May 2017,Utah Jazz,Golden State Warriors,91,102,3.32,1.36,0,1,0
06 May 2017,Houston Rockets,San Antonio Spurs,92,103,1.45,2.90,0,1,0
05 May 2017,Toronto Raptors,Cleveland Cavaliers,94,115,2.27,1.68,0,1,0
05 May 2017,Golden State Warriors,Utah Jazz,115,104,1.07,10.18,1,1,0
05 May 2017,Washington Wizards,Boston Celtics,116,89,1.44,2.93,1,1,0
04 May 2017,San Antonio Spurs,Houston Rockets,121,96,1.41,3.09,1,1,0
03 May 2017,Cleveland Cavaliers,Toronto Raptors,125,103,1.29,3.79,1,1,0
03 May 2017,Golden State Warriors,Utah Jazz,106,94,1.07,10.31,1,1,0
03 May 2017,Boston Celtics,Washington Wizards,129,119,1.48,2.78,1,1,0
02 May 2017,San Antonio Spurs,Houston Rockets,99,126,1.37,3.27,0,1,0
01 May 2017,Cleveland Cavaliers,Toronto Raptors,116,105,1.32,3.59,1,1,0
30 Apr 2017,Los Angeles Clippers,Utah Jazz,91,104,1.61,2.44,0,1,0
30 Apr 2017,Boston Celtics,Washington Wizards,123,111,1.53,2.62,1,1,0
29 Apr 2017,Utah Jazz,Los Angeles Clippers,93,98,1.43,2.96,0,1,0
29 Apr 2017,Chicago Bulls,Boston Celtics,83,105,2.30,1.67,0,1,0
28 Apr 2017,Atlanta Hawks,Washington Wizards,99,115,1.69,2.26,0,1,0
28 Apr 2017,Memphis Grizzlies,San Antonio Spurs,96,103,2.89,1.45,0,1,0
27 Apr 2017,Milwaukee Bucks,Toronto Raptors,89,92,1.85,2.01,0,1,0
27 Apr 2017,Boston Celtics,Chicago Bulls,108,97,1.27,4.04,1,1,0
26 Apr 2017,Washington Wizards,Atlanta Hawks,103,99,1.38,3.23,1,1,0
26 Apr 2017,Los Angeles Clippers,Utah Jazz,92,96,1.65,2.34,0,1,0
26 Apr 2017,San Antonio Spurs,Memphis Grizzlies,116,103,1.13,6.51,1,1,0
26 Apr 2017,Houston Rockets,Oklahoma City Thunder,105,99,1.29,3.82,1,1,0
25 Apr 2017,Portland Trail Blazers,Golden State Warriors,103,128,4.36,1.24,0,1,0
25 Apr 2017,Atlanta Hawks,Washington Wizards,111,101,1.68,2.27,1,1,0
24 Apr 2017,Toronto Raptors,Milwaukee Bucks,118,93,1.41,3.05,1,1,0
24 Apr 2017,Utah Jazz,Los Angeles Clippers,105,98,1.52,2.65,1,1,0
23 Apr 2017,Chicago Bulls,Boston Celtics,95,104,2.04,1.83,0,1,0
23 Apr 2017,Oklahoma City Thunder,Houston Rockets,109,113,1.87,1.99,0,1,0
23 Apr 2017,Indiana Pacers,Cleveland Cavaliers,102,106,2.47,1.59,0,1,0
23 Apr 2017,Portland Trail Blazers,Golden State Warriors,113,119,2.68,1.50,0,1,0
23 Apr 2017,Memphis Grizzlies,San Antonio Spurs,110,108,2.84,1.46,1,1,0
22 Apr 2017,Atlanta Hawks,Washington Wizards,116,98,1.68,2.27,1,1,0
22 Apr 2017,Milwaukee Bucks,Toronto Raptors,76,87,1.76,2.14,0,1,0
22 Apr 2017,Utah Jazz,Los Angeles Clippers,106,111,2.07,1.80,0,1,0
22 Apr 2017,Oklahoma City Thunder,Houston Rockets,115,113,1.74,2.18,1,1,0
21 Apr 2017,Chicago Bulls,Boston Celtics,87,104,2.18,1.73,0,1,0
21 Apr 2017,Memphis Grizzlies,San Antonio Spurs,105,94,2.46,1.60,1,1,0
21 Apr 2017,Milwaukee Bucks,Toronto Raptors,104,77,1.80,2.08,1,1,0
20 Apr 2017,Indiana Pacers,Cleveland Cavaliers,114,119,2.10,1.79,0,1,0
20 Apr 2017,Golden State Warriors,Portland Trail Blazers,110,81,1.12,7.10,1,1,0
20 Apr 2017,Houston Rockets,Oklahoma City Thunder,115,111,1.29,3.80,1,1,0
19 Apr 2017,Washington Wizards,Atlanta Hawks,109,101,1.41,3.07,1,1,0
19 Apr 2017,Los Angeles Clippers,Utah Jazz,99,91,1.21,4.81,1,1,0
19 Apr 2017,Boston Celtics,Chicago Bulls,97,111,1.30,3.77,0,1,0
18 Apr 2017,Toronto Raptors,Milwaukee Bucks,106,100,1.26,4.08,1,1,0
18 Apr 2017,San Antonio Spurs,Memphis Grizzlies,96,82,1.16,5.94,1,1,0
17 Apr 2017,Cleveland Cavaliers,Indiana Pacers,117,111,1.23,4.45,1,1,0
17 Apr 2017,Houston Rockets,Oklahoma City Thunder,118,87,1.33,3.56,1,1,0
16 Apr 2017,Boston Celtics,Chicago Bulls,102,106,1.33,3.52,0,1,0
16 Apr 2017,Golden State Warriors,Portland Trail Blazers,121,109,1.05,13.35,1,1,0
16 Apr 2017,Washington Wizards,Atlanta Hawks,114,107,1.43,2.95,1,1,0
16 Apr 2017,Los Angeles Clippers,Utah Jazz,95,97,1.43,2.97,0,1,0
16 Apr 2017,San Antonio Spurs,Memphis Grizzlies,111,82,1.19,5.08,1,1,0
15 Apr 2017,Toronto Raptors,Milwaukee Bucks,83,97,1.28,3.87,0,1,0
15 Apr 2017,Cleveland Cavaliers,Indiana Pacers,109,108,1.20,4.85,1,1,0
13 Apr 2017,Golden State Warriors,Los Angeles Lakers,109,94,1.10,8.14,1,0,0
13 Apr 2017,Los Angeles Clippers,Sacramento Kings,115,95,1.03,15.05,1,0,0
13 Apr 2017,Portland Trail Blazers,New Orleans Pelicans,100,103,1.31,3.63,0,0,0
13 Apr 2017,Utah Jazz,San Antonio Spurs,101,97,1.59,2.47,1,0,0
13 Apr 2017,Boston Celtics,Milwaukee Bucks,112,94,1.07,9.69,1,0,0
13 Apr 2017,Chicago Bulls,Brooklyn Nets,112,73,1.06,11.43,1,0,0
13 Apr 2017,Cleveland Cavaliers,Toronto Raptors,83,98,2.32,1.65,0,0,0
13 Apr 2017,Houston Rockets,Minnesota Timberwolves,123,118,1.29,3.85,1,0,0
13 Apr 2017,Indiana Pacers,Atlanta Hawks,104,86,1.06,10.88,1,0,0
13 Apr 2017,Memphis Grizzlies,Dallas Mavericks,93,100,1.26,4.14,0,0,0
13 Apr 2017,Miami Heat,Washington Wizards,110,102,1.18,5.39,1,0,0
13 Apr 2017,New York Knicks,Philadelphia 76ers,114,113,1.69,2.25,1,0,0
13 Apr 2017,Oklahoma City Thunder,Denver Nuggets,105,111,1.42,2.99,0,0,0
13 Apr 2017,Orlando Magic,Detroit Pistons,113,109,1.82,2.05,1,0,0
12 Apr 2017,Los Angeles Lakers,New Orleans Pelicans,108,96,1.73,2.19,1,0,0
12 Apr 2017,Sacramento Kings,Phoenix Suns,129,104,1.47,2.79,1,0,0
12 Apr 2017,Dallas Mavericks,Denver Nuggets,91,109,1.73,2.18,0,0,0
12 Apr 2017,Minnesota Timberwolves,Oklahoma City Thunder,98,100,1.33,3.52,0,0,0
11 Apr 2017,Atlanta Hawks,Charlotte Hornets,103,76,1.28,3.89,1,0,0
11 Apr 2017,Golden State Warriors,Utah Jazz,99,105,1.17,5.42,0,0,0
11 Apr 2017,Los Angeles Clippers,Houston Rockets,125,96,1.21,4.66,1,0,0
11 Apr 2017,Portland Trail Blazers,San Antonio Spurs,99,98,5.36,1.18,1,0,0
11 Apr 2017,Chicago Bulls,Orlando Magic,122,75,1.26,4.10,1,0,0
11 Apr 2017,Detroit Pistons,Washington Wizards,101,105,1.45,2.89,0,0,0
11 Apr 2017,Milwaukee Bucks,Charlotte Hornets,89,79,1.38,3.23,1,0,0
10 Apr 2017,Boston Celtics,Brooklyn Nets,114,105,1.14,6.23,1,0,0
10 Apr 2017,Miami Heat,Cleveland Cavaliers,124,121,1.16,5.61,1,0,0
10 Apr 2017,Philadelphia 76ers,Indiana Pacers,111,120,4.48,1.22,0,0,0
10 Apr 2017,Los Angeles Lakers,Minnesota Timberwolves,110,109,2.90,1.44,1,0,0
09 Apr 2017,Memphis Grizzlies,Detroit Pistons,90,103,1.45,2.90,0,0,0
09 Apr 2017,Phoenix Suns,Dallas Mavericks,124,111,1.73,2.19,1,0,0
