Team,Odds,W-L O/U,Result
Miami Heat,225,47.5,46-20 (under)
Los Angeles Lakers,450,42.5,41-25 (under)
Chicago Bulls,550,47.5,50-16 (over)
Oklahoma City Thunder,700,46.5,47-19 (over)
Dallas Mavericks,850,44.5,36-30 (under)
Boston Celtics,1600,40.5,39-27 (under)
New York Knicks,1600,41.5,36-30 (under)
Los Angeles Clippers,2000,42.5,40-26 (under)
Memphis Grizzlies,2500,37.5,41-25 (over)
Orlando Magic,2500,37.5,37-29 (under)
Portland Trail Blazers,3300,37.5,28-38 (under)
San Antonio Spurs,3300,40.5,50-16 (over)
New Jersey Nets,4000,27.5,22-44 (under)
Atlanta Hawks,5000,34.5,40-26 (over)
Houston Rockets,6600,33.5,34-32 (over)
Indiana Pacers,6600,36.5,42-24 (over)
Denver Nuggets,6600,36.5,38-28 (over)
Phoenix Suns,10000,29.5,33-33 (over)
Utah Jazz,10000,25.5,36-30 (over)
Philadelphia 76ers,12500,36.5,35-31 (under)
Milwaukee Bucks,12500,31.5,31-35 (under)
Golden State Warriors,12500,29.5,23-43 (under)
New Orleans Hornets,15000,25.5,21-45 (under)
Washington Wizards,15000,20.5,20-46 (under)
Minnesota Timberwolves,20000,23.5,26-40 (over)
Detroit Pistons,20000,21.5,25-41 (over)
Sacramento Kings,20000,20.5,22-44 (over)
Cleveland Cavaliers,20000,17.5,21-45 (over)
Charlotte Bobcats,20000,19.5,7-59 (under)
Toronto Raptors,25000,16.5,23-43 (over)
