Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs,Preseason
11 Oct 2020,Miami Heat,Los Angeles Lakers,93,106,2.97,1.42,0,1,0
10 Oct 2020,Los Angeles Lakers,Miami Heat,108,111,1.32,3.58,0,1,0
07 Oct 2020,Miami Heat,Los Angeles Lakers,96,102,3.71,1.30,0,1,0
04 Oct 2020,Miami Heat,Los Angeles Lakers,115,104,4.34,1.24,1,1,0
03 Oct 2020,Los Angeles Lakers,Miami Heat,124,114,1.17,5.47,1,1,0
01 Oct 2020,Los Angeles Lakers,Miami Heat,116,98,1.53,2.63,1,1,0
27 Sep 2020,Miami Heat,Boston Celtics,125,113,2.25,1.69,1,1,0
27 Sep 2020,Los Angeles Lakers,Denver Nuggets,117,107,1.47,2.79,1,1,0
26 Sep 2020,Boston Celtics,Miami Heat,121,108,1.63,2.37,1,1,0
25 Sep 2020,Denver Nuggets,Los Angeles Lakers,108,114,3.02,1.41,0,1,0
24 Sep 2020,Miami Heat,Boston Celtics,112,109,2.35,1.63,1,1,0
23 Sep 2020,Denver Nuggets,Los Angeles Lakers,114,106,3.11,1.39,1,1,0
20 Sep 2020,Los Angeles Lakers,Denver Nuggets,105,103,1.33,3.51,1,1,0
20 Sep 2020,Miami Heat,Boston Celtics,106,117,2.39,1.62,0,1,0
19 Sep 2020,Los Angeles Lakers,Denver Nuggets,126,114,1.34,3.40,1,1,0
17 Sep 2020,Boston Celtics,Miami Heat,101,106,1.69,2.25,0,1,0
16 Sep 2020,Los Angeles Clippers,Denver Nuggets,89,104,1.32,3.57,0,1,0
15 Sep 2020,Boston Celtics,Miami Heat,114,117,1.77,2.10,0,1,0
13 Sep 2020,Denver Nuggets,Los Angeles Clippers,111,98,3.97,1.27,1,1,0
13 Sep 2020,Los Angeles Lakers,Houston Rockets,119,96,1.40,3.07,1,1,0
12 Sep 2020,Toronto Raptors,Boston Celtics,87,92,2.24,1.69,0,1,0
11 Sep 2020,Los Angeles Clippers,Denver Nuggets,105,111,1.25,4.26,0,1,0
10 Sep 2020,Houston Rockets,Los Angeles Lakers,100,110,2.76,1.48,0,1,0
10 Sep 2020,Denver Nuggets,Los Angeles Clippers,85,96,3.60,1.32,0,1,0
09 Sep 2020,Boston Celtics,Toronto Raptors,122,125,1.68,2.25,0,1,0
09 Sep 2020,Houston Rockets,Los Angeles Lakers,102,112,2.52,1.56,0,1,0
08 Sep 2020,Milwaukee Bucks,Miami Heat,94,103,2.80,1.47,0,1,0
08 Sep 2020,Denver Nuggets,Los Angeles Clippers,107,113,4.48,1.23,0,1,0
07 Sep 2020,Toronto Raptors,Boston Celtics,89,111,2.04,1.82,0,1,0
07 Sep 2020,Los Angeles Lakers,Houston Rockets,117,109,1.43,2.95,1,1,0
06 Sep 2020,Miami Heat,Milwaukee Bucks,115,118,2.06,1.81,0,1,0
06 Sep 2020,Los Angeles Clippers,Denver Nuggets,101,110,1.23,4.41,0,1,0
05 Sep 2020,Boston Celtics,Toronto Raptors,93,100,1.78,2.09,0,1,0
05 Sep 2020,Los Angeles Lakers,Houston Rockets,97,112,1.34,3.44,0,1,0
04 Sep 2020,Miami Heat,Milwaukee Bucks,115,100,2.74,1.48,1,1,0
