Team,Odds,W-L O/U,Result
Los Angeles Clippers,425,53.5,49-23 (under)
Los Angeles Lakers,450,50.5,52-19 (over)
Milwaukee Bucks,550,57.5,56-17 (under)
Houston Rockets,700,54,44-28 (under)
Philadelphia 76ers,775,54.5,43-30 (under)
Golden State Warriors,950,47.5,15-50 (under)
Utah Jazz,1300,53.5,44-28 (under)
Denver Nuggets,2000,53,46-27 (under)
Boston Celtics,2900,48.5,48-24 (under)
Portland Trail Blazers,3500,46.5,35-39 (under)
Indiana Pacers,5000,46.5,45-28 (under)
Brooklyn Nets,5500,43.5,35-37 (under)
Toronto Raptors,5500,46.5,53-19 (over)
Miami Heat,6000,43.5,44-29 (over)
San Antonio Spurs,6000,46.5,32-39 (under)
Dallas Mavericks,10500,40.5,43-32 (over)
New Orleans Pelicans,12500,37.5,30-42 (under)
Sacramento Kings,15000,37.5,31-41 (under)
Orlando Magic,20000,41.5,33-40 (under)
Atlanta Hawks,25000,33.5,20-47 (under)
Oklahoma City Thunder,25000,32.5,44-28 (over)
Detroit Pistons,25000,37.5,20-46 (under)
Chicago Bulls,42500,33.5,22-43 (under)
Minnesota Timberwolves,50000,35.5,19-45 (under)
Phoenix Suns,50000,29.5,34-39 (over)
Memphis Grizzlies,100000,27.5,34-39 (over)
New York Knicks,100000,26.5,21-45 (under)
Washington Wizards,125000,27,25-47 (under)
Cleveland Cavaliers,150000,24.5,19-46 (under)
Charlotte Hornets,200000,23.5,23-42 (under)
